"Function Stack","CPU Time: Total","CPU Time: Self","Module","Function (Full)","Source File","Start Address"
"Total","17888.7","0","[Unknown]","[Unknown]","[Unknown]","[Unknown]"
" _start","17888.4","0","sa_mesh_1773_intel20_symbols","_start","[Unknown]","0x40cb00"
"  __libc_start_main","17888.4","0","libc.so.6","__libc_start_main","[Unknown]","0x23d30"
"   main","17888.4","0","sa_mesh_1773_intel20_symbols","main","[Unknown]","0x40cbe0"
"    runmesh","17888.4","0.0100317","sa_mesh_1773_intel20_symbols","runmesh","MESH_driver.f90","0x8fc228"
"     run_within_tile","16820.6","0.0299858","sa_mesh_1773_intel20_symbols","run_within_tile","sa_mesh_run_within_tile.f90","0x8b62d8"
"     run_between_grid","544.424","2.49018","sa_mesh_1773_intel20_symbols","run_between_grid","sa_mesh_run_between_grid.f90","0x8d50a9"
"     run_within_grid","392.238","0","sa_mesh_1773_intel20_symbols","run_within_grid","sa_mesh_run_within_grid.f90","0x8c7f6a"
"     climate_module_update_data","116.026","87.4667","sa_mesh_1773_intel20_symbols","climate_module_update_data","climate_forcing_module.f90","0x54792d"
"     output_variables_reset","12.2682","0","sa_mesh_1773_intel20_symbols","output_variables_reset","output_variables.f90","0x453341"
"     run_save_basin_output","1.31975","1.28975","sa_mesh_1773_intel20_symbols","run_save_basin_output","save_basin_output.f90","0x8a0837"
"     read_initial_inputs","0.59","0.00999922","sa_mesh_1773_intel20_symbols","read_initial_inputs","read_initial_inputs.f90","0x7d4834"
"     run_within_tile_init","0.259981","0","sa_mesh_1773_intel20_symbols","run_within_tile_init","sa_mesh_run_within_tile.f90","0x8b6216"
"     run_within_tile_finalize","0.24","0","sa_mesh_1773_intel20_symbols","run_within_tile_finalize","sa_mesh_run_within_tile.f90","0x8c7eaf"
"     resumerun_read","0.11","0.02002","sa_mesh_1773_intel20_symbols","resumerun_read","resumerun_read.f90","0x8f0e24"
"     run_within_grid_init","0.0599967","0","sa_mesh_1773_intel20_symbols","run_within_grid_init","sa_mesh_run_within_grid.f90","0x8c7f26"
"     init_fls","0.05","0","sa_mesh_1773_intel20_symbols","init_fls","module_files.f90","0x8677de"
"     counter_update","0.0299985","0.02","sa_mesh_1773_intel20_symbols","counter_update","module_dates.f90","0x4161c3"
"     climate_module_init","0.0200225","0","sa_mesh_1773_intel20_symbols","climate_module_init","climate_forcing_module.f90","0x53aca6"
"     output_variables_update","0.02","0","sa_mesh_1773_intel20_symbols","output_variables_update","output_variables.f90","0x47767f"
"     run_between_grid_init","0.02","0","sa_mesh_1773_intel20_symbols","run_between_grid_init","sa_mesh_run_between_grid.f90","0x8d5022"
"     run_save_basin_output_init","0.01","0","sa_mesh_1773_intel20_symbols","run_save_basin_output_init","save_basin_output.f90","0x898c72"
"     stats_update_stfl_daily","0.01","0.01","sa_mesh_1773_intel20_symbols","stats_update_stfl_daily","SIMSTATS.F90","0x57db96"
"     output_files_update","0.00999979","0.00999979","sa_mesh_1773_intel20_symbols","output_files_update","output_files.f90","0x898ac8"
" classa","0.210013","0.210013","sa_mesh_1773_intel20_symbols","classa","CLASSA.f","0x5cc2b4"
" aprep","0.119982","0.119982","sa_mesh_1773_intel20_symbols","aprep","APREP.f","0x5b0ff4"
" watdrn","0.0325736","0.0325736","sa_mesh_1773_intel20_symbols","watdrn","WATDRN.f","0x645300"
